date,BidPrice-BSV,BidVolume-BSV,AskPrice-BSV,AskVolume-BSV,BidPrice-BTC,BidVolume-BTC,AskPrice-BTC,AskVolume-BTC,BidPrice-EOS,BidVolume-EOS,AskPrice-EOS,AskVolume-EOS,BidPrice-ETH,BidVolume-ETH,AskPrice-ETH,AskVolume-ETH,BidPrice-BAB,BidVolume-BAB,AskPrice-BAB,AskVolume-BAB,BidPrice-LTC,BidVolume-LTC,AskPrice-LTC,AskVolume-LTC,BidPrice-NEO,BidVolume-NEO,AskPrice-NEO,AskVolume-NEO,BidPrice-XRP,BidVolume-XRP,AskPrice-XRP,AskVolume-XRP
2019-11-03 07:57:48.062780,132.1,1262.78719401,132.22,1516.1639165400004,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.14,453.20251943000005,295.31,650.34857155,58.273,2786.75247524,58.308,2185.7013196000007,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:57:48.736777,132.1,1262.78719401,132.22,1516.1639165400004,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.19,676.69287888,295.35,578.18054061,58.273,2786.75247524,58.308,2185.7013196000007,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:57:48.837785,132.12,1210.23233265,132.22,1429.38426442,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.19,676.69287888,295.35,578.18054061,58.273,2786.75247524,58.308,2185.7013196000007,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:57:50.998777,132.12,1210.23233265,132.22,1429.38426442,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.19,676.69287888,295.35,578.18054061,58.273,2786.75247524,58.308,2185.7013196000007,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:57:52.422787,132.12,1210.23233265,132.22,1429.38426442,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.19,676.69287888,295.35,578.18054061,58.273,2786.75247524,58.308,2185.7013196000007,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:57:52.982776,132.12,1210.23233265,132.22,1429.38426442,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.19,676.69287888,295.35,578.18054061,58.273,2786.75247524,58.308,2185.7013196000007,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:57:56.099777,132.12,1210.23233265,132.22,1429.38426442,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.19,676.69287888,295.35,578.18054061,58.273,2786.75247524,58.308,2185.7013196000007,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:57:57.109776,132.12,1210.23233265,132.22,1429.38426442,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.19,676.69287888,295.35,578.18054061,58.273,2786.75247524,58.308,2185.7013196000007,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:57:57.514788,132.12,1210.23233265,132.22,1429.38426442,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.19,676.69287888,295.35,578.18054061,58.273,2786.75247524,58.308,2185.7013196000007,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
2019-11-03 07:57:57.676781,132.12,1210.23233265,132.22,1429.38426442,9300.0,87.71797459999999,9300.1,35.18526368000001,3.3283,41340.87664584,3.3284,43843.84583682,183.84,882.49734874,183.86,961.37577306,295.19,676.69287888,295.35,578.18054061,58.273,2786.75247524,58.308,2185.7013196000007,10.963,4574.192916980001,10.964,2348.47503921,0.294,335945.67704626,0.29413,531013.27706435
